Keyword,Mã HS,Dòng SP,Loại,Lớp 1,Lớp 2,Cluster_ID
"thủy tinh, khuôn, tinh thô, mắt kính thủy, tròng mắt kính, upper mold, vt upper, sf vt, vật liệu mẫu, thẻ vật liệu, kích thước, trưng bày giới, màu sắc vỏ, mẫu drew drop, hiệu bomma bomma",70200019,SP THỦY TINH,LK,Khuôn thủy tinh — loại khác,Khuôn Thủy Tinh,0
"thủy tinh, khuôn, tinh thô, mắt kính thủy, tròng mắt kính, upper mold, vt upper, sf vt, mold mold, tinh my style, sf upper, oem sf, qua sử dụng, sử dụng 90, năm sx 2025",70200019,SP THỦY TINH,LK,Khuôn thủy tinh — loại khác,Khuôn Tròng Mắt,1
"thủy tinh, khuôn, tinh thô, mắt kính thủy, tròng mắt kính, upper mold, vt upper, sf vt, vật liệu mẫu, thẻ vật liệu, vệ cắt laser, laser máy cắt, cắt laser máy, bảo vệ cắt, machinery equipment pce",70200019,SP THỦY TINH,LK,Khuôn thủy tinh — loại khác,[OUTLIER] tinh kính thủy,-1
"thủy tinh, khuôn, tinh thô, mắt kính thủy, tròng mắt kính, upper mold, vt upper, sf vt, vật liệu mẫu, thẻ vật liệu, kích thước, trưng bày giới, màu sắc vỏ, mẫu drew drop, hiệu bomma bomma",70200019,SP THỦY TINH,LK,Khuôn thủy tinh — loại khác,Thẻ Mẫu Thủy Tinh,8
"thủy tinh, khuôn, tinh thô, mắt kính thủy, tròng mắt kính, upper mold, vt upper, sf vt, mold mold, tinh my style, sf upper, oem sf, qua sử dụng, sử dụng 90, năm sx 2025",70200019,SP THỦY TINH,LK,Khuôn thủy tinh — loại khác,Khuôn Thử Nghiệm,7
"kính thủy tinh, mắt kính thủy, tròng mắt kính, khuôn tròng mắt, upper mold, vt upper, sf vt, vệ cắt laser, laser máy cắt, cắt laser máy, bảo vệ cắt, machinery equipment pce, kính bảo vệ, taixiang machinery equipment, qingxian taixiang machinery",70200019,SP THỦY TINH,LK,Khuôn thủy tinh — loại khác,Kính Bảo Vệ,6
"thạch anh, ống, vật liệu thạch, hcl 450 tấn, tổng hợp axit, xinqiu environmental sci, axit hcl 450, environmental sci tech, hợp axit hcl, anh shanghai xinqiu, shanghai xinqiu environmental, tấn ngày, lò tổng hợp, ngày kích thước, phi 181xh990 vật",70200020,SP THỦY TINH,LK,Ống thạch anh — lò phản ứng / bán dẫn,[OUTLIER] anh thạch ống,-1
"ruột phích, tinh, dung tích, huihong economic trading, thân trơn nối, economic trading thủy, thân hoa văn, văn nhãn hiệu, hiệu hunan huihong, trơn nối thân, hoa văn nhãn, hunan huihong economic, nhãn hiệu hunan, nối thân hoa, phích nước dung",70200030,SP THỦY TINH,LK,Ruột phích / ruột bình chân không,[OUTLIER] ruột phích tinh,-1
"ruột phích, tinh, dung tích, huihong economic trading, thân trơn nối, economic trading thủy, thân hoa văn, văn nhãn hiệu, hiệu hunan huihong, trơn nối thân, hoa văn nhãn, hunan huihong economic, nhãn hiệu hunan, nối thân hoa, phích nước dung",70200030,SP THỦY TINH,LK,Ruột phích / ruột bình chân không,Phích Thủy Tinh,0
"lượng mặt trời, năng lượng mặt, nước nóng năng, nóng năng lượng, thủy tinh, chân không, bình nước nóng, ống chân, không thủy, dụng bình nước, sử dụng bình, phi 58mm 1800mm, mặt trời ống, kiện bình nước, sht 09 phi",70200040,SP THỦY TINH,LK,Ống chân không — năng lượng mặt trời,Linh Kiện Bình Nước,1
"lượng mặt trời, năng lượng mặt, nước nóng năng, nóng năng lượng, thủy tinh, chân không, bình nước nóng, ống chân, không thủy, dụng bình nước, sử dụng bình, phi 58mm 1800mm, mặt trời ống, kiện bình nước, sht 09 phi",70200040,SP THỦY TINH,LK,Ống chân không — năng lượng mặt trời,[OUTLIER] ống năng trời,-1
"lượng mặt trời, năng lượng mặt, nước nóng năng, nóng năng lượng, thủy tinh, chân không, bình nước nóng, ống chân, không thủy, dụng bình nước, sử dụng bình, phi 58mm 1800mm, mặt trời ống, kiện bình nước, sht 09 phi",70200040,SP THỦY TINH,LK,Ống chân không — năng lượng mặt trời,Ống Chân Không,0
"lượng mặt trời, năng lượng mặt, nước nóng năng, nóng năng lượng, thủy tinh, chân không, bình nước nóng, ống chân, không thủy, dụng bình nước, sử dụng bình, phi 58mm 1800mm, mặt trời ống, kiện bình nước, sht 09 phi",70200040,SP THỦY TINH,LK,Ống chân không — năng lượng mặt trời,Đun Nước Nóng,3
"lượng mặt trời, năng lượng mặt, nước nóng năng, nóng năng lượng, thủy tinh, chân không, bình nước nóng, ống chân, không thủy, dụng bình nước, sử dụng bình, phi 58mm 1800mm, mặt trời ống, kiện bình nước, sht 09 phi",70200040,SP THỦY TINH,LK,Ống chân không — năng lượng mặt trời,Máy Nước Nóng,5
"nhiệt, hấp thụ, thủy tinh thu, phi 58 ống, ống năng lượng, thủy tinh chân, tinh chân không, solar tubes nhãn, mặt trời 58, glass solar tubes, all glass solar, trời 58 1800mm, tubes nhãn hiệu, nhãn hiệu sonha, nóng lạnh hấp",70200040,SP THỦY TINH,LK,Ống chân không — năng lượng mặt trời,Thụ Hấp Nhiệt,2
"bình nước nóng, ống chân không, không thủy tinh, chân không thủy, nước nóng năng, nóng năng lượng, lượng mặt trời, năng lượng mặt, dụng bình nước, sử dụng bình, phi 58mm 1800mm, mặt trời ống, kiện bình nước, sht 09 phi, linh kiện bình",70200040,SP THỦY TINH,LK,Ống chân không — năng lượng mặt trời,Bình Solar Tube,4
"điện thoại di, thoại di động, viền trang trí, kích thước 62x20, trí camera điện, trang trí camera, thước 62x20 70x57, camera điện thoại, di động chất, động chất liệu, thủy tinh kích, tinh kích thước, chất liệu thủy, liệu thủy tinh, di động kích",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Viền Điện Thoại,0
